year,team,team_salary,avg_player_salary,median_player_salary,wins,cost_per_win,championship
2014,ATL,"$83,555,673 ","$2,785,189 ","$1,116,429 ",79,"$1,057,666.75 ",no
2014,BAL,"$96,638,455 ","$3,332,361 ","$1,000,000 ",96,"$1,006,650.57 ",no
2014,BOS,"$143,862,395 ","$5,328,237 ","$2,750,000 ",71,"$2,026,230.92 ",no
2014,CHC,"$82,683,714 ","$3,062,360 ","$1,775,000 ",73,"$1,132,653.62 ",no
2014,CHW,"$88,550,982 ","$3,542,039 ","$2,259,815 ",73,"$1,213,027.15 ",no
2014,CIN,"$112,878,771 ","$3,319,964 ","$1,150,000 ",76,"$1,485,246.99 ",no
2014,CLE,"$71,483,300 ","$2,978,471 ","$987,500 ",85,"$840,980.00 ",no
2014,COL,"$95,079,071 ","$3,521,447 ","$1,712,500 ",66,"$1,440,591.98 ",no
2014,DET,"$172,571,526 ","$6,391,538 ","$2,500,000 ",90,"$1,917,461.40 ",no
2014,HOU,"$44,985,800 ","$1,606,636 ","$507,600 ",70,"$642,654.29 ",no
2014,KCR,"$84,771,000 ","$3,390,840 ","$1,500,000 ",89,"$952,483.15 ",no
2014,LAA,"$128,046,500 ","$4,415,397 ","$900,000 ",98,"$1,306,596.94 ",no
2014,LAD,"$208,521,260 ","$7,190,388 ","$3,714,285 ",94,"$2,218,311.28 ",no
2014,MIA,"$52,836,900 ","$1,887,032 ","$1,000,000 ",77,"$686,193.51 ",no
2014,MIL,"$79,014,914 ","$3,160,597 ","$534,000 ",82,"$963,596.51 ",no
2014,MIN,"$80,937,500 ","$3,372,396 ","$967,500 ",70,"$1,156,250.00 ",no
2014,NYM,"$78,718,636 ","$3,148,745 ","$1,000,000 ",79,"$996,438.43 ",no
2014,NYY,"$205,676,092 ","$8,227,044 ","$3,500,000 ",84,"$2,448,524.90 ",no
2014,OAK,"$65,815,900 ","$2,269,514 ","$700,000 ",88,"$747,907.95 ",no
2014,PHI,"$152,521,056 ","$5,259,347 ","$1,125,000 ",73,"$2,089,329.53 ",no
2014,PIT,"$77,340,499 ","$2,974,635 ","$1,600,000 ",88,"$878,869.31 ",no
2014,SDP,"$79,422,194 ","$2,836,507 ","$1,290,000 ",77,"$1,031,457.06 ",no
2014,SEA,"$82,536,142 ","$3,056,894 ","$750,000 ",88,"$937,910.70 ",no
